NQR QUALIFICATIONS SUMMARY SHEET,,,,Downloaded on: 17-09-2026 06:36:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S No.,Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,,
32,Motor & Controller Repairing Technician,2021/EHW/ESSC/04790,"The Motor & Controller Repairing Technician is responsible for servicing and repairing of the motor and controller in an Electric Vehicle. Along with that, s/he tests the motor and the controller after servicing; and takes corrective action against any malfunction detected.",Electronics & HW,Level 4,450 Hours,450 Hours,Version ,30 Dec 2021,30 Dec 2026,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sale Support-EM&B,Motor and Controller Repairing Engineer,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""96"",""Practical"":""144"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
33,Battery System Repair Technician,2021/EHW/ESSC/04789,"The Battery System Repair Technician is responsible for servicing and repairing of the battery system in an Electric Vehicle. Along with that, s/he tests the battery system after servicing; and takes corrective actions against any malfunction detected.",Electronics & HW,Level 4,450 Hours,450 Hours,Version ,30 Dec 2021,30 Dec 2026,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sale Support-EM&B,Engineer – Services,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
34,Motor and Controller Design Engineer,2021/EHW/ESSC/04788,"The Motor and Controller Designer is responsible for designing motor, controller and power transmission control system for electric vehicles. The job covers activities like designing the control system, thorough testing and validation of the design.",Electronics & HW,Level 5,600 Hours,600 Hours,Version ,30 Dec 2021,30 Dec 2026,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Product Design & Development-EM&B,Motor and Controller Design Lead,"Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""144"",""Practical"":""216"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""150""}",,
35,Battery System Design Engineer,2021/EHW/ESSC/04787,"The Battery System Designer is responsible for design and implementation of the control system that ensure battery’s longevity, efficiency and safety of the battery in an Electric Vehicle. The job covers activities like designing the battery system, thorough testing and validation of the design.",Electronics & HW,Level 5,600 Hours,600 Hours,Version ,30 Dec 2021,30 Dec 2026,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Product Design & Development-EM&B,Manager – Design,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""144"",""Practical"":""216"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""150""}",,
36,Electronic Hardware Assembly Operator,2021/EHW/ESSC/04786,"An Electronic Hardware Assembly Operator is responsible for installing electronic components inside various devices of an Electric Vehicle. Along with that, s/he reviews blueprints and specification sheets, inspects components, performs quality assurance tests, identifies defects in the assembly process; and takes corrective actions against any malfunction detected.",Electronics & HW,Level 4,450 Hours,450 Hours,Version ,30 Dec 2021,30 Dec 2026,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Support-EM&B,Production Supervisor,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
37,Battery System Assembly Operator,2021/EHW/ESSC/04785,"The Battery System Assembly Operator system is responsible for assembling the battery pack for an Electric Vehicle. Along with that, s/he tests the engine management system, climate controls, communications and safety systems; and takes corrective actions against any malfunction detected.",Electronics & HW,Level 4,450 Hours,450 Hours,Version ,30 Dec 2021,30 Dec 2026,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Assembly-EM&B,Battery System Assembly Supervisor,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""96"",""Practical"":""144"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
38,TV Repair Technician,2022/EHW/ESSC/05109,TV Repair Technician – is responsible for interacting with the customer to install the TV as well as diagnose the problem. The individual also needs to assess possible causes of fault reported and rectify problems/faults.,Electronics & HW,Level 3,420 Hours,420 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Service Technician – Home Appliances,Multi-Skill Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""150""}",,
39,Field Technician – Air Conditioner,2022/EHW/ESSC/05110,Field Technician – Air Conditioner provides after sales service to customers where he/she needs to interact with customers to diagnose the problem and assess possible causes. The individual identifies and rectifies minor problems or replaces faulty modules for failed parts or recommends factory repair for bigger faults.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Field Engineer- RACW,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
40,Field Technician – Other Home Appliances,2022/EHW/ESSC/05111,Field Technician – is responsible for interacting with the customer to install the appliance as well as diagnose the problem. The individual also needs to assess possible causes of fault reported and rectify problems/faults.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Service Engineer- Consumer Durables,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
41,Service Technician – Home Appliances,2022/EHW/ESSC/05127,"A Service Technician – Home Appliances is responsible to interact with customers to Install the appliance or diagnose the problem to assess possible causes of malfunction. Once the problem and causes have been identified, the individual rectifies the problems or replaces faulty modules/failed parts or recommends factory repairs.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Service Engineer – Consumer Durables,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
